job_id,title,family,location,level,must_have_skills,nice_to_have_skills,min_years_experience,work_auth_required,description
JOB-DA-001,Senior Data Analyst (Product Analytics),data_analyst,Remote,Senior,SQL;Statistics;A/B testing;Dashboarding,Python;dbt;Snowflake,5,Any,"Own product analytics for experimentation, funnel analysis, and KPI dashboards. Partner with PMs to drive insights and measurement."
JOB-GENAI-001,LLM Engineer (RAG + Agents),genai,"Austin, TX",Senior,Python;RAG;Vector databases;FastAPI;Evaluation,Vertex AI;LangGraph;Kubernetes,4,No Sponsorship Needed,"Build and deploy LLM-powered applications with RAG and agent workflows. Focus on grounding, citations, evals, and production hardening."
JOB-ML-001,ML Engineer (Recommendations),ml_engineer,"Seattle, WA",Mid,Python;scikit-learn;Model deployment;Docker,Kubernetes;AWS;MLflow,3,Any,"Develop recommendation models, deploy to production, and monitor performance. Collaborate with data engineering and product."
JOB-BE-001,Backend Engineer (API Platform),backend,"Chicago, IL",Mid,REST APIs;PostgreSQL;Docker;CI/CD,Kafka;Kubernetes;Terraform,3,Any,"Build reliable APIs and backend services. Improve scalability, observability, and developer experience."
JOB-FE-001,Frontend Engineer (React),frontend,Remote,Mid,React;TypeScript;HTML;CSS,Next.js;Accessibility;Cypress,3,Any,"Build a modern web UI, improve performance and accessibility, and collaborate closely with design."
JOB-GENAI-002,AI Engineer (Customer Support Copilot),genai,"Dallas, TX",Mid,Python;LLMs;Prompt engineering;RAG,Azure OpenAI;Chroma;Evaluation,2,Any,"Ship an internal copilot for support agents. Prioritize grounding, safety, and measurable quality improvements."
JOB-DA-002,Analytics Engineer (dbt + Snowflake),data_analyst,"New York, NY",Mid,SQL;dbt;Data modeling;Snowflake,Airflow;Looker,3,Any,"Model analytics tables, build reliable transformations in dbt, and publish metrics for stakeholders."
JOB-ML-002,MLOps Engineer (Kubernetes + MLflow),ml_engineer,"San Francisco, CA",Senior,Docker;Kubernetes;CI/CD;MLflow;Monitoring,Terraform;SageMaker;Vertex AI,5,Any,"Build ML platform tooling for training/deployments, experiment tracking, and production monitoring."
JOB-BE-002,Software Engineer (Event Streaming),backend,"Atlanta, GA",Senior,Kafka;Microservices;Docker;PostgreSQL,gRPC;Kubernetes;Terraform,6,Any,"Develop event-driven services, optimize throughput, and maintain high reliability."
JOB-FE-002,UI Engineer (Next.js),frontend,"San Francisco, CA",Senior,Next.js;React;TypeScript;Accessibility,Figma;Cypress;Tailwind,5,Any,"Lead UI architecture, ship accessible experiences, and mentor engineers."
